"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"CASBE",2001,804,80.8,72,11.8,26,"Casco Bay, East"
"CASBE",1993,606,109.9,46,9.9,26,"Casco Bay, East"
"CASBE",1995,588.5,205.9,37,32.4,26,"Casco Bay, East"
"CASBE",2013,548,179.4,37.5,31.3,26,"Casco Bay, East"
"CASBE",2017,722,213.1,35,32.8,26,"Casco Bay, East"
"CASBE",2003,665.5,206.1,40,34.4,26,"Casco Bay, East"
"CASBE",2000,657,203.6,38.5,31.2,26,"Casco Bay, East"
"CASBE",2011,544,168.8,38,33.5,26,"Casco Bay, East"
"CASBE",2007,623,216.6,39,30.5,26,"Casco Bay, East"
"CASBE",2008,616.5,201.7,38,40.7,26,"Casco Bay, East"
"CASBE",1996,537,177,35,32.1,26,"Casco Bay, East"
"CASBE",1998,540,171.1,36,29.9,26,"Casco Bay, East"
"CASBE",2018,910,75.1,26,7.2,26,"Casco Bay, East"
"CASBE",2006,626,207.5,37,31.2,26,"Casco Bay, East"
"CASBE",2010,583,207.1,37,33.6,26,"Casco Bay, East"
"CASBE",1997,414,92,21,6.5,26,"Casco Bay, East"
"CASBE",2012,439,51.4,39,8.7,26,"Casco Bay, East"
"CASBE",2004,640,217,38,34.9,26,"Casco Bay, East"
"CASBE",1994,606,194.5,37,30.4,26,"Casco Bay, East"
"CASBE",2005,634,208.7,38,33.1,26,"Casco Bay, East"
"CASBE",1999,618,199.9,39,32.9,26,"Casco Bay, East"
"CELPT",2009,1907,757.6,54,53.1,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2016,1898.5,668.1,55,52.1,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2014,1931.5,716.3,55,47.9,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2017,1863,628.4,58,45.7,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1996,2004,674.9,55,51.8,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2008,1933,719,55.5,54.6,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2003,2003.5,722,55,50.1,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2001,2195.5,376.4,97,14.3,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1993,1449,309.7,30,7.5,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2011,1893.5,733.1,53,49.6,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2015,1929.5,730,57,57.9,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2010,1904,777.5,58,50.4,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1997,2325.5,409.1,52,10.3,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2012,1888.5,702.6,55,52.8,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1995,1905,662.2,53,48.6,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2002,2002,690,56,49.7,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1994,1765.5,614.1,53,47.1,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2013,1904.5,737.2,55,55.7,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2000,2038.5,633.6,58,44.5,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2007,1966.5,756.5,55,47.9,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2006,1931.5,723.5,57,48.8,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2005,1957.5,748.4,56,52.9,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2004,1980,752.4,56.5,49.5,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",2018,1823.5,332.5,64,11.3,12,"Cape Elizabeth to Isle of Shoals"
"CELPT",1998,2075,702.3,58,46,12,"Cape Elizabeth to Isle of Shoals"
