POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
896,19,Otter Island Ledge,44.00405,-68.79156667,,Y,,Y
972,22,Otter Island Ledge 1,44.025,-69.081,,Y,,Y
973,22,Otter Island Ledge 2,44.02296549,-69.05911458,,Y,,Y
971,22,Otter Island Rock,44.0211,-69.0705,,Y,,Y
451,23,Otter Ledge 1,44.14653333,-68.36342833,,Y,,Y
291,7,Outer Dawes Ledge,44.17709961,-68.3334554,,Y,,Y
897,25,Outer Dogfish Ledge,44.095,-68.928,,Y,,Y
648,14,Outer Heron Island,43.77098833,-69.586515,,Y,,Y
169,5,Outer Ram Island Ledge,44.488,-67.63168333,,Y,,Y
170,5,Outer Sand Island,44.46106667,-67.66925,,Y,,Y
381,9,Outer Scrag Ledge,44.109615,-68.71270333,,Y,,Y
722,16,Outer Shag Ledge,43.90865,-69.29716667,,Y,,Y
723,16,Palmer Island Ledge,43.971945,-69.397225,,Y,,Y
25,1,Parker Island,44.85715556,-67.11383333,,Y,,Y
26,1,Parker Island Ledge,44.85978667,-67.11134,,Y,,Y
228,6,Pea Ledge,44.46336667,-67.86398333,,Y,,Y
649,14,Peabow Island,43.904545,-69.54392167,,Y,,Y
650,14,Peabow Island Rock,43.9021,-69.54411667,,Y,,Y
651,14,Peters Island Ledge,43.90699,-69.56760333,,Y,,Y
229,6,Petit Manan Reef,44.36528333,-67.86356667,,Y,,Y
652,14,Pettis Rocks,43.83160833,-69.798795,Y,Y,,Y
452,23,Phinney Point,44.16976333,-68.39510167,,Y,,Y
382,9,Phoebe Island,44.14674833,-68.57533333,,Y,,Y
827,18,Pickering Island Ledges,44.25876667,-68.73783333,,Y,,Y
42,2,Pierson Ledge,44.594515,-67.41332667,,Y,,Y
127,4,Pig Island Ledge,44.519365,-67.57511,,Y,,Y
230,6,Pigeon Hill Bay Ledge,44.42144368,-67.88830566,,Y,,Y
653,14,Pleasant Cove 2,43.92584167,-69.58780167,,Y,,Y
654,14,Pleasant Cove Ledge,43.93059,-69.58650667,,Y,,Y
974,22,Pleasant Island and Ledges,43.97903333,-69.07333333,,Y,,Y
975,22,Pleasant Island Ledge South,43.97291667,-69.07762,,Y,,Y
172,5,Plummer Island,44.48463135,-67.69818522,,Y,,Y
173,5,Plummer Ledge,44.48319092,-67.69516602,,Y,,Y
235,6,Point Francis Rock,44.45,-67.988,,Y,,Y
898,19,Point Ledge,44.02857666,-68.82828776,,Y,,Y
724,16,Polins Ledges,43.90770667,-69.42664333,,Y,,Y
174,5,Pomps Island Ledge,44.50650228,-67.65318604,,Y,,Y
231,6,Pond Island,44.46243333,-67.83501667,,Y,,Y
320,8,Pond Island 1,44.22919922,-68.48111979,,Y,,Y
828,18,Pond Island 3,44.28840333,-68.79988667,,Y,,Y
232,6,Pond Island 4 South,44.447,-67.897,,Y,,Y
233,6,Pond Island 5 West,44.45580241,-67.84215902,,Y,,Y
598,26,Pond Island Ledge,43.72516667,-69.97456,Y,Y,,Y
234,6,Pop Island Ledge,44.47358333,-67.91816667,,Y,,Y
171,5,Popplestone Ledge,44.47364167,-67.60747833,,Y,,Y
940,21,Porterfield Ledge,44.15386167,-69.06141,,Y,,Y
383,9,Potato Island Ledge 2,44.206925,-68.560645,,Y,,Y
384,9,Potato Ledge,44.16839667,-68.550855,,Y,,Y
829,18,Pressey Cove Ledge,44.23131667,-68.71113333,,Y,,Y
526,12,Prouts Neck Ledge,43.5295,-70.307275,,Y,,Y
